cvegeo,ids,area_km2,densidad_pob,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
9.002E+11,0.7782,0.210668312,3.693958496,0.720223406,0.279776594,Bajo,2,0.25,5045,3905,0.774033697,0.758276659
9.002E+11,0.7339,0.176205237,4.16502944,0.662683465,0.337316535,Bajo,2,0.25,5113,4292,0.839428907,0.828231995
9.002E+11,0.7635,0.166615226,4.582414334,0.701130017,0.298869983,Bajo,2,0.25,4310,3582,0.831090487,0.819312123
9.002E+11,0.7354,0.194433782,3.782264537,0.66463177,0.33536823,Bajo,2,0.25,4896,4089,0.835171569,0.823677785
9.002E+11,0.8495,0.437230983,1.942908974,0.812832835,0.187167165,Medio,3,0.5,5215,3119,0.598082454,0.57005602
9.002E+11,0.7848,0.449668771,1.745284643,0.728795948,0.271204052,Medio,3,0.5,6391,4982,0.779533719,0.764160209
9.002E+11,0.8346,0.431908438,1.932354006,0.793479673,0.206520327,Medio,3,0.5,7654,5113,0.668016723,0.644866932
090020001067A,0.9106,0.396177878,2.298462509,0.892193791,0.107806209,Alto,4,0.75,6100,2825,0.463114754,0.425676779
9.002E+11,0.9131,0.393008013,2.323362297,0.895440966,0.104559034,Alto,4,0.75,3914,1630,0.416453756,0.375762025
9.002E+11,0.9484,0.255493862,3.712026554,0.941291077,0.058708923,Muy alto,5,1,2634,812,0.308276386,0.260041252
9.002E+11,0.9539,0.21786525,4.37839444,0.948434862,0.051565138,Muy alto,5,1,2330,643,0.275965665,0.225477447
9.002E+11,0.8675,0.330590241,2.624094396,0.836212495,0.163787505,Alto,4,0.75,3714,2019,0.54361874,0.511794453
9.002E+11,0.9469,0.238202641,3.97518683,0.939342772,0.060657228,Muy alto,5,1,2584,822,0.318111455,0.270562139
090020001074A,0.8761,0.175064578,5.004438981,0.847382777,0.152617223,Alto,4,0.75,2810,1473,0.524199288,0.491020848
9.002E+11,0.8648,0.100148359,8.635188888,0.832705546,0.167294454,Alto,4,0.75,2262,1331,0.58841733,0.559716929
9.002E+11,0.8742,0.542146201,1.612480174,0.844914924,0.155085076,Alto,4,0.75,8989,4636,0.515741462,0.481973242
9.002E+11,0.8284,0.129625671,6.390709464,0.785426679,0.214573321,Medio,3,0.5,2306,1556,0.674761492,0.652082025
9.002E+11,0.8346,0.236247281,3.532739078,0.793479673,0.206520327,Medio,3,0.5,2409,1543,0.640514736,0.615447182
9.002E+11,0.8628,0.312055735,2.7648907,0.830107806,0.169892194,Alto,4,0.75,4797,2705,0.5638941,0.533483651
9.002E+11,0.9395,0.15562245,6.037046724,0.929731134,0.070268866,Muy alto,5,1,1955,683,0.349360614,0.303990358
090020001081A,0.892,0.191389719,4.660647419,0.86803481,0.13196519,Alto,4,0.75,3614,1795,0.496679579,0.46158214
9.002E+11,0.8805,0.444975027,1.97876273,0.853097805,0.146902195,Alto,4,0.75,2987,1572,0.526280549,0.493247239
9.002E+11,0.9478,0.221920964,4.27088989,0.940511755,0.059488245,Muy alto,5,1,2939,944,0.321197686,0.273863579
9.002E+11,0.9208,0.26602321,3.461352116,0.905442265,0.094557735,Alto,4,0.75,3594,1430,0.397885364,0.355898827
9.002E+11,0.8498,0.242431834,3.505315234,0.813222496,0.186777504,Medio,3,0.5,4328,2678,0.618761553,0.592177109
9.002E+11,0.7186,2.026188401,0.354656062,0.642810755,0.357189245,Bajo,2,0.25,810,693,0.855555556,0.845483184
9.002E+11,0.7721,1.917034803,0.402757425,0.712300299,0.287699701,Bajo,2,0.25,5136,3989,0.776674455,0.761101562
9.002E+11,0.9369,0.053083431,17.64957502,0.926354072,0.073645928,Alto,4,0.75,1504,539,0.35837766,0.313636178
9.002E+11,0.9594,0.074048189,12.95642766,0.955578647,0.044421353,Muy alto,5,1,1788,491,0.274608501,0.224025646
9.002E+11,0.9184,0.135914136,6.757207337,0.902324977,0.097675023,Alto,4,0.75,3289,1551,0.471571906,0.434723664
9.002E+11,0.8075,0.989031692,0.816455132,0.758280296,0.241719704,Medio,3,0.5,1790,1301,0.726815642,0.707766005
9.002E+11,0.9306,0.662610309,1.404445399,0.918171191,0.081828809,Alto,4,0.75,387,157,0.405684755,0.364242082
9.002E+11,0.8979,0.113039828,7.943218013,0.875698143,0.124301857,Alto,4,0.75,4343,2362,0.543863689,0.512056482
9.002E+11,0.9617,0.236554574,4.065446644,0.958566048,0.041433952,Muy alto,5,1,1986,478,0.240684794,0.187736377
9.002E+11,0.9102,0.219718741,4.142568788,0.891674243,0.108325757,Alto,4,0.75,2926,1536,0.524948735,0.491822555
9.002E+11,0.9216,0.092824386,9.928425529,0.906481361,0.093518639,Alto,4,0.75,2312,921,0.398356401,0.35640271
090020001099A,0.9039,0.063984561,14.12684541,0.883491363,0.116508637,Alto,4,0.75,1332,637,0.478228228,0.441844143
9.002E+11,0.8413,0.328875085,2.558114125,0.802182102,0.197817898,Medio,3,0.5,7491,4637,0.619009478,0.592442323
9.002E+11,0.8436,0.077003135,10.95539804,0.805169503,0.194830497,Medio,3,0.5,1673,977,0.583980873,0.55497111
9.002E+11,0.8852,0.671241494,1.318750417,0.859202494,0.140797506,Alto,4,0.75,7565,3978,0.525842697,0.492778854
