cvegeo,ids,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
0900200010383,0.8458,0.8080270164956488,0.1919729835043512,Medio,3.0,0.5,4014.0,2553.0,0.6360239162929746,0.6106432085402241
0900200010398,0.8366,0.7960774126509936,0.20392258734900637,Medio,3.0,0.5,4197.0,2772.0,0.6604717655468192,0.6367958503474019
0900200010400,0.8493,0.8125730614365503,0.18742693856344972,Medio,3.0,0.5,3892.0,2451.0,0.6297533401849948,0.6039353738683929
0900200010415,0.8539,0.8185478633588777,0.18145213664112225,Medio,3.0,0.5,4118.0,2645.0,0.6423020883924235,0.6173591688856883
0900200010434,0.934,0.9225873490063645,0.07741265099363548,Alto,4.0,0.75,2785.0,933.0,0.33500897666068225,0.288637955109818
0900200010449,0.8867,0.8611507988050396,0.13884920119496036,Alto,4.0,0.75,2883.0,1471.0,0.5102323968088797,0.47608001988137627
0900200010468,0.8928,0.8690739057020392,0.13092609429796076,Alto,4.0,0.75,4418.0,2181.0,0.493662290629244,0.4583544503589461
0900200010472,0.9154,0.8984283673204312,0.10157163267956881,Alto,4.0,0.75,6453.0,2594.0,0.4019835735316907,0.36028281122623773
0900200010487,0.8342,0.7929601246915184,0.20703987530848156,Medio,3.0,0.5,4144.0,2610.0,0.6298262548262549,0.6040133729788902
0900200010491,0.8591,0.8253019872710741,0.17469801272892593,Medio,3.0,0.5,6198.0,3527.0,0.569054533720555,0.5390039303248236
0900200010504,0.9123,0.8944018703727756,0.10559812962722437,Alto,4.0,0.75,4675.0,1904.0,0.4072727272727273,0.36594078718216655
0900200010519,0.8945,0.8712819846733341,0.12871801532666594,Alto,4.0,0.75,2380.0,1117.0,0.469327731092437,0.4323229981647832
0900200010542,0.8985,0.8764774646057929,0.1235225353942071,Alto,4.0,0.75,6717.0,3048.0,0.4537740062527914,0.4156846840834459
0900200010557,0.8298,0.7872450967658137,0.21275490323418633,Medio,3.0,0.5,4458.0,2903.0,0.6511888739344998,0.6268656459866373
0900200010561,0.8279,0.7847772437978957,0.2152227562021043,Medio,3.0,0.5,3407.0,2366.0,0.6944525975931904,0.6731462270039034
0900200010576,0.8305,0.788154305753994,0.21184569424600597,Medio,3.0,0.5,3145.0,2133.0,0.6782193958664547,0.65578105488856
0900200010580,0.8116,0.7636056630731263,0.23639433692687373,Medio,3.0,0.5,4124.0,2916.0,0.7070805043646945,0.6866547004544931
0900200010595,0.7782,0.7202234056370956,0.27977659436290436,Bajo,2.0,0.25,5045.0,3905.0,0.7740336967294351,0.7582766594898784
0900200010608,0.7339,0.6626834653851149,0.3373165346148851,Bajo,2.0,0.25,5113.0,4292.0,0.8394289067083904,0.8282319952221556
0900200010612,0.7635,0.7011300168853097,0.29886998311469026,Bajo,2.0,0.25,4310.0,3582.0,0.8310904872389792,0.8193121227475976
0900200010627,0.7354,0.664631770359787,0.33536822964021296,Bajo,2.0,0.25,4896.0,4089.0,0.835171568627451,0.8236777852903614
0900200010631,0.8495,0.8128328354331731,0.18716716456682692,Medio,3.0,0.5,5215.0,3119.0,0.5980824544582933,0.5700560202481053
0900200010650,0.7848,0.7287959475256527,0.2712040524743473,Medio,3.0,0.5,6391.0,4982.0,0.7795337192927554,0.7641602085307942
0900200010665,0.8346,0.7934796726847643,0.20652032731523573,Medio,3.0,0.5,7654.0,5113.0,0.6680167232819441,0.6448669315721026
090020001067A,0.9106,0.8921937914014806,0.10780620859851942,Alto,4.0,0.75,6100.0,2825.0,0.46311475409836067,0.42567677909679047
0900200010684,0.9131,0.8954409663592674,0.1045590336407326,Alto,4.0,0.75,3914.0,1630.0,0.4164537557485948,0.3757620253065428
0900200010699,0.9484,0.941291076763216,0.058708923236784005,Muy alto,5.0,1.0,2634.0,812.0,0.3082763857251329,0.2600412524691843
0900200010701,0.9539,0.9484348616703467,0.05156513832965326,Muy alto,5.0,1.0,2330.0,643.0,0.2759656652360515,0.22547744725634322
0900200010716,0.8675,0.8362124951292376,0.16378750487076243,Alto,4.0,0.75,3714.0,2019.0,0.5436187399030694,0.5117944528005248
0900200010720,0.9469,0.9393427717885439,0.06065722821145614,Muy alto,5.0,1.0,2584.0,822.0,0.31811145510835914,0.27056213895116427
090020001074A,0.8761,0.8473827769840239,0.15261722301597613,Alto,4.0,0.75,2810.0,1473.0,0.5241992882562277,0.4910208478204552
0900200010754,0.8648,0.8327055461748278,0.16729445382517216,Alto,4.0,0.75,2262.0,1331.0,0.5884173297966402,0.5597169290391645
0900200010769,0.8742,0.8449149240161059,0.1550850759838941,Alto,4.0,0.75,8989.0,4636.0,0.515741461786628,0.48197324188056156
0900200010773,0.8284,0.7854266787894532,0.21457332121054684,Medio,3.0,0.5,2306.0,1556.0,0.6747614917606245,0.6520820249025531
0900200010788,0.8346,0.7934796726847643,0.20652032731523573,Medio,3.0,0.5,2409.0,1543.0,0.6405147364051473,0.6154471816257361
0900200010792,0.8628,0.8301078062085985,0.16989219379140152,Alto,4.0,0.75,4797.0,2705.0,0.5638941004794663,0.5334836507810996
0900200010805,0.9395,0.9297311339134953,0.07026886608650473,Muy alto,5.0,1.0,1955.0,683.0,0.3493606138107417,0.3039903577622953
090020001081A,0.892,0.8680348097155475,0.13196519028445253,Alto,4.0,0.75,3614.0,1795.0,0.49667957941339236,0.46158214012344506
0900200010824,0.8805,0.8530978049097284,0.14690219509027158,Alto,4.0,0.75,2987.0,1572.0,0.5262805490458654,0.4932472386728185
0900200010839,0.9478,0.9405117547733471,0.05948824522665286,Muy alto,5.0,1.0,2939.0,944.0,0.321197686287853,0.27386357858838534
0900200010843,0.9208,0.9054422652292504,0.09455773477074958,Alto,4.0,0.75,3594.0,1430.0,0.39788536449638284,0.35589882669498124
0900200010858,0.8498,0.8132224964281075,0.1867775035718925,Medio,3.0,0.5,4328.0,2678.0,0.6187615526802218,0.5921771092272717
0900200010877,0.7186,0.6428107546434602,0.35718924535653984,Bajo,2.0,0.25,810.0,693.0,0.8555555555555555,0.845483184333759
0900200010881,0.7721,0.712300298740096,0.28769970125990396,Bajo,2.0,0.25,5136.0,3989.0,0.7766744548286605,0.761101562406751
0900200010896,0.9369,0.9263540719573969,0.07364592804260306,Alto,4.0,0.75,1504.0,539.0,0.3583776595744681,0.3136361783647184
0900200010909,0.9594,0.9555786465774776,0.0444213534225224,Muy alto,5.0,1.0,1788.0,491.0,0.2746085011185682,0.22402564564101246
0900200010913,0.9184,0.9023249772697752,0.09767502273022477,Alto,4.0,0.75,3289.0,1551.0,0.47157190635451507,0.43472366380912114
0900200010928,0.8075,0.7582802961423561,0.24171970385764385,Medio,3.0,0.5,1790.0,1301.0,0.7268156424581006,0.7077660052655237
0900200010932,0.9306,0.9181711910637744,0.08182880893622557,Alto,4.0,0.75,387.0,157.0,0.40568475452196384,0.36424208223192456
0900200010947,0.8979,0.8756981426159242,0.12430185738407584,Alto,4.0,0.75,4343.0,2362.0,0.5438636886944508,0.5120564823122248
0900200010966,0.9617,0.9585660475386414,0.041433952461358614,Muy alto,5.0,1.0,1986.0,478.0,0.2406847935548842,0.18773637686024397
0900200010970,0.9102,0.8916742434082348,0.10832575659176524,Alto,4.0,0.75,2926.0,1536.0,0.5249487354750513,0.49182255534342656
0900200010985,0.9216,0.9064813612157422,0.09351863878425781,Alto,4.0,0.75,2312.0,921.0,0.39835640138408307,0.35640270983308814
090020001099A,0.9039,0.8834913625146122,0.11650863748538776,Alto,4.0,0.75,1332.0,637.0,0.47822822822822825,0.44184414299356833
0900200011004,0.8413,0.8021821015716327,0.19781789842836728,Medio,3.0,0.5,7491.0,4637.0,0.619009478040315,0.5924423228691799
0900200011019,0.8436,0.8051695025327964,0.1948304974672036,Medio,3.0,0.5,1673.0,977.0,0.5839808726838015,0.5549711097828252
0900200011023,0.8852,0.8592024938303675,0.1407975061696325,Alto,4.0,0.75,7565.0,3978.0,0.5258426966292135,0.49277885401868354
