cvegeo,grado_rezago_social,grado_rezago_num,indice_rezago_social,rezago_norm,area_km2,centroide_lon,centroide_lat
0901000011716,Bajo,2,,0.25,0.2654544590691405,-99.26028762490868,19.321990326798517
0901000012150,Muy bajo,1,,0.0,0.219509804498257,-99.19329706808169,19.379268040452907
0901000011133,Muy bajo,1,,0.0,0.5856055350194508,-99.18461905347782,19.34641403726183
0901000011307,Muy bajo,1,,0.0,1.0592245044564648,-99.21148173803691,19.310287003621344
0901000010281,Muy bajo,1,,0.0,0.19055696476610925,-99.24395552900923,19.38479532186392
0901000012199,Bajo,2,,0.25,0.23183267357169351,-99.21925429266146,19.35257177885584
0901000012269,Bajo,2,,0.25,0.34843716658800716,-99.21662170615313,19.366978016309165
0901000012273,Muy bajo,1,,0.0,0.8981636016915677,-99.24339576653391,19.348407475692607
0901000011330,Bajo,2,,0.25,1.6097180994589932,-99.26168581088035,19.334569775871934
090100001181A,Bajo,2,,0.25,0.3083482850028562,-99.22628894559313,19.35056120622333
0901000011684,Bajo,2,,0.25,0.6386888230695292,-99.2506462771086,19.333467950895617
0901000011665,Bajo,2,,0.25,0.2204487912060114,-99.24126930001971,19.352383901682025
0901000010578,Bajo,2,,0.25,0.3078804390459654,-99.21678960688725,19.370176773889998
0901000010597,Bajo,2,,0.25,0.13612860086378842,-99.20862783320797,19.37445425869581
0901000010690,Muy bajo,1,,0.0,0.3545750851314388,-99.20789345495498,19.365423074479903
0901000010915,Muy bajo,1,,0.0,0.32142987960857994,-99.217244725763,19.363400682033376
0901000012216,Medio,3,,0.5,0.6001668087393974,-99.25292995757964,19.35312879066687
0901000011275,Muy bajo,1,,0.0,1.12984050414117,-99.19857811320057,19.322558447264576
0901000010065,Bajo,2,,0.25,0.20838252977791807,-99.19208067144703,19.39760123821102
0901000011063,Muy bajo,1,,0.0,0.42657097449129294,-99.17872214088426,19.35448004834185
0901000011542,Muy bajo,1,,0.0,0.9737626526419844,-99.25919724089943,19.36897827271422
0901000012358,Muy bajo,1,,0.0,0.7377584786962392,-99.25508631702361,19.366826111374287
0901000012057,Bajo,2,,0.25,0.23357386442764044,-99.24793483934629,19.32915659024501
0901000012201,Bajo,2,,0.25,0.21476711841152693,-99.2570899225754,19.35425920024618
0901000011222,Muy bajo,1,,0.0,0.27556232941623504,-99.20546459716851,19.3388499794408
090100001128A,Muy bajo,1,,0.0,1.078701901889522,-99.21573123468306,19.31776640887357
0901000011364,Bajo,2,,0.25,0.2478882639571523,-99.264792581076,19.317617500206836
0901000010027,Muy bajo,1,,0.0,0.23883395910556676,-99.19457465215953,19.401482302661393
0901000010031,Bajo,2,,0.25,0.31485989621728616,-99.20764554299859,19.3994110904372
0901000010987,Muy bajo,1,,0.0,0.45419054555717625,-99.18857503025781,19.360132803494135
0901000010991,Muy bajo,1,,0.0,0.5162983692809008,-99.18237664505679,19.357239780071605
0901000011006,Muy bajo,1,,0.0,0.46847448611500975,-99.17613142859405,19.360207894457602
0901000011769,Bajo,2,,0.25,2.2417937695409202,-99.27314002300852,19.337221852155967
0901000012042,Bajo,2,,0.25,0.14304407420297213,-99.25444055808099,19.327433889574454
0901000010718,Muy bajo,1,,0.0,0.02346662964131019,-99.20850700979206,19.36758898053967
0901000011951,Medio,3,,0.5,0.16230374007568324,-99.2204555940711,19.382258290725037
0901000010012,Muy bajo,1,,0.0,0.12976537981548036,-99.19992044482207,19.40109674282244
090100001021A,Muy bajo,1,,0.0,0.02445576524978786,-99.20695905582798,19.38911248027089
0901000011044,Muy bajo,1,,0.0,0.6854090740469604,-99.19428947792854,19.35471363638768
0901000010525,Muy bajo,1,,0.0,0.14947940024105685,-99.19355019905224,19.3744020596005
0901000011129,Muy bajo,1,,0.0,0.5038328828735446,-99.19294052428668,19.347400714677146
090100001053A,Bajo,2,,0.25,0.1949755613643182,-99.23479102077489,19.36935466867846
0901000011970,Bajo,2,,0.25,0.17252349608310039,-99.21867286016474,19.378979427439027
0901000010826,Muy bajo,1,,0.0,0.034069571065516446,-99.19805547280511,19.36632289678986
0901000010830,Muy bajo,1,,0.0,0.05900925946360376,-99.19288232815595,19.367071184488236
0901000010845,Muy bajo,1,,0.0,0.12425415362775229,-99.19273116712677,19.365351960414905
0901000011010,Muy bajo,1,,0.0,0.26449627044436874,-99.20738208393145,19.35562421948797
0901000010722,Muy bajo,1,,0.0,0.12816073525763327,-99.20651415550907,19.368024255720933
090100001103A,Muy bajo,1,,0.0,0.37670166910556974,-99.20439572597232,19.35050241914176
0901000010614,Bajo,2,,0.25,0.11809357429122593,-99.20165118464502,19.371582365388598
0901000012362,Bajo,2,,0.25,0.11338031701615194,-99.20953697116954,19.371652803850225
0901000010629,Muy bajo,1,,0.0,0.14333603947802592,-99.19742173321097,19.373303460284784
0901000011881,Muy bajo,1,,0.0,0.4895895869631582,-99.2495329876889,19.3509178652458
