Clave entidad,Entidad,Clave municipio,Municipio,Clave localidad,Localidad,Longitud,Latitud,Altitud,Población total,Población femenina,Población masculina,Pob. 3 años y más,Pob. 3 años y más (F),Pob. 3 años y más (M),Pob. 18 años y más,Pob. 18 años y más (F),Pob. 18 años y más (M),Relación hombres-mujeres,Pob. económicamente activa,Pob. económicamente activa (F),Pob. económicamente activa (M),Pob. económicamente inactiva,Pob. económicamente inactiva (F),Pob. económicamente inactiva (M),Pob. ocupada,Sin derechohabiencia,Con derechohabiencia,Derechohabiente IMSS,Derechohabiente ISSSTE federal,Derechohabiente ISSSTE estatal,Afiliado Seguro Popular/Bienestar,Seguro Popular o Médico Siglo XXI,Derechohabiente IMSS-Bienestar,Afiliado institución privada,Afiliado otra institución,Niños,Niños (F),Niños (M),Jóvenes,Jóvenes (F),Jóvenes (M),Adultos,Adultos (F),Adultos (M),Tercera edad,Tercera edad (F),Tercera edad (M)
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,59,El Zarco,"99Â°21'15.809"" W","19Â°17'35.718"" N",3141.0,24,12.0,12.0,21.0,11.0,10.0,20.0,11.0,9.0,100.0,17.0,9.0,8.0,0.0,0.0,0.0,17.0,12.0,12.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,16.0,10.0,6.0,4.0,1.0,3.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,62,Los Campesinos [Rancho],"99Â°20'40.786"" W","19Â°18'18.001"" N",3056.0,29,14.0,15.0,26.0,13.0,13.0,22.0,9.0,13.0,107.14,13.0,5.0,8.0,10.0,5.0,5.0,13.0,11.0,18.0,6.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,20.0,8.0,12.0,2.0,1.0,1.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,63,Santa Rosa,"99Â°17'42.290"" W","19Â°19'23.959"" N",2859.0,818,414.0,404.0,789.0,395.0,394.0,527.0,252.0,275.0,97.58,378.0,123.0,255.0,257.0,185.0,72.0,377.0,406.0,412.0,188.0,33.0,1.0,0.0,169.0,21.0,0.0,1.0,182.0,106.0,76.0,109.0,56.0,53.0,484.0,234.0,250.0,43.0,18.0,25.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,66,Santa Laura [Rancho],"99Â°19'10.138"" W","19Â°20'36.786"" N",2725.0,38,13.0,25.0,38.0,13.0,25.0,36.0,12.0,24.0,192.31,31.0,10.0,21.0,6.0,3.0,3.0,31.0,5.0,33.0,10.0,0.0,0.0,2.0,0.0,0.0,20.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,34.0,10.0,24.0,2.0,2.0,0.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,70,Punta Galicia,"99Â°18'12.141"" W","19Â°22'29.628"" N",2536.0,438,207.0,231.0,421.0,194.0,227.0,313.0,142.0,171.0,111.59,262.0,101.0,161.0,92.0,60.0,32.0,258.0,161.0,277.0,159.0,26.0,0.0,0.0,6.0,72.0,8.0,6.0,83.0,45.0,38.0,42.0,20.0,22.0,293.0,132.0,161.0,20.0,10.0,10.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,73,Los Aguacates,"99Â°18'38.635"" W","19Â°22'11.647"" N",2725.0,514,261.0,253.0,478.0,241.0,237.0,328.0,155.0,173.0,96.93,266.0,100.0,166.0,122.0,88.0,34.0,265.0,228.0,286.0,160.0,8.0,0.0,0.0,1.0,113.0,3.0,1.0,126.0,73.0,53.0,60.0,33.0,27.0,304.0,143.0,161.0,24.0,12.0,12.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,74,Punta Ahuatenco,"99Â°18'20.883"" W","19Â°22'04.908"" N",2556.0,173,74.0,99.0,161.0,68.0,93.0,105.0,45.0,60.0,133.78,82.0,24.0,58.0,55.0,34.0,21.0,82.0,78.0,95.0,35.0,10.0,0.0,0.0,1.0,48.0,1.0,0.0,36.0,16.0,20.0,32.0,13.0,19.0,92.0,40.0,52.0,13.0,5.0,8.0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,77,Coatzehuaya,"99Â°19'31.307"" W","19Â°21'00.103"" N",2822.0,28,13.0,15.0,26.0,12.0,14.0,17.0,8.0,9.0,115.38,10.0,2.0,8.0,8.0,7.0,1.0,10.0,11.0,17.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,4.0,6.0,1.0,1.0,0.0,14.0,7.0,7.0,3.0,1.0,2.0
9,Ciudad de MÃ©xico,5,Gustavo A. Madero,1,Gustavo A. Madero,"99Â°06'48.495"" W","19Â°28'58.603"" N",2230.0,1173351,609477.0,563874.0,1137856.0,592051.0,545805.0,911482.0,480252.0,431230.0,92.52,618184.0,274269.0,343915.0,387814.0,252835.0,134979.0,603239.0,300902.0,871522.0,555494.0,137485.0,2052.0,7130.0,146273.0,2146.0,20306.0,15673.0,165322.0,81388.0,83934.0,96313.0,47717.0,48596.0,708013.0,364117.0,343896.0,203469.0,116135.0,87334.0
9,Ciudad de MÃ©xico,6,Iztacalco,1,Iztacalco,"99Â°05'51.406"" W","19Â°23'45.245"" N",2230.0,404695,212343.0,192352.0,392990.0,206622.0,186368.0,319021.0,170195.0,148826.0,90.59,224915.0,102951.0,121964.0,125126.0,82460.0,42666.0,219405.0,110116.0,294078.0,183462.0,57405.0,553.0,2609.0,43288.0,1721.0,8563.0,2690.0,53833.0,26559.0,27274.0,31663.0,15499.0,16164.0,248114.0,129246.0,118868.0,70907.0,40949.0,29958.0
